단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
459580,KODEX CD금리액티브(합성),1051200,75,0.01,1051027.88,1051195,1051200,1051195,298065,313325371705,8746404480000,8320400
439860,KODEX ESG종합채권(A-이상)액티브,111750,0,0,111823.22,111545,111760,111545,382,42654885,285409500000,2554000
266370,KODEX IT,17615,5,0.03,17626.35,17740,17820,17545,858,15151065,21138000000,1200000
368680,KODEX K-뉴딜디지털플러스,8130,70,0.87,8159.47,8125,8165,8045,868,7045740,9756000000,1200000
445290,KODEX K-로봇액티브,12605,15,0.12,12604.3,12615,12690,12570,45105,569592780,141806250000,11250000
401470,KODEX K-메타버스액티브,6500,40,0.62,6511.57,6465,6505,6420,31644,204713240,109525000000,16850000
385520,KODEX K-미래차액티브,8480,-10,-0.12,8468.77,8545,8545,8440,2238,18979865,21200000000,2500000
385510,KODEX K-신재생에너지액티브,17945,-105,-0.58,17941.31,18095,18095,17780,8608,153818395,47554250000,2650000
373490,KODEX K-이노베이션액티브,12525,115,0.93,12542.83,12435,12525,12435,158,1967350,7515000000,600000
445150,KODEX K-친환경조선해운액티브,12740,280,2.25,12752.1,12580,12825,12580,15154,193054820,26117000000,2050000
423160,KODEX KOFR금리액티브(합성),108355,5,0,108338.45,108350,108355,108350,30721,3328683745,4492181590000,41458000
292190,KODEX KRX300,16685,45,0.27,16727.23,16750,16750,16590,4693,78300770,20022000000,1200000
306950,KODEX KRX300레버리지,13760,50,0.36,13859.27,13660,13760,13600,868,11849445,13760000000,1000000
229720,KODEX KTOP30,17140,25,0.15,17207.49,17125,17240,17125,177,3044205,8570000000,500000
291890,KODEX MSCI EM선물(H),8850,45,0.51,8893.33,8895,8900,8835,1273,11260520,6195000000,700000
289040,KODEX MSCI KOREA ESG유니버설,10630,10,0.09,10651.55,10620,10630,10610,6,63740,9567000000,900000
156080,KODEX MSCI Korea,16500,100,0.61,16518.93,16510,16510,16460,4,65980,11550000000,700000
278540,KODEX MSCI Korea TR,11910,25,0.21,11927.43,11885,11910,11830,654,7772860,681252000000,57200000
275280,KODEX MSCI모멘텀,13695,175,1.29,13699.77,13640,13695,13640,420,5743485,8217000000,600000
275290,KODEX MSCI밸류,10645,50,0.47,10651.23,10605,10645,10605,7,74410,6387000000,600000
275300,KODEX MSCI퀄리티,8910,10,0.11,8943.76,8900,8910,8900,11,97910,5346000000,600000
269420,KODEX S&P글로벌인프라(합성),17495,125,0.72,17580.81,17440,17595,17440,2121,37178430,25035345000,1431000
433970,KODEX TDF2030액티브,12600,70,0.56,12584.16,12530,12600,12530,8518,107148815,17010000000,1350000
433980,KODEX TDF2040액티브,13320,95,0.72,13301.81,13235,13320,13235,5659,75308790,15318000000,1150000
434060,KODEX TDF2050액티브,13830,120,0.88,13809.2,13760,13845,13760,201295,2780077580,107874000000,7800000
329650,KODEX TRF3070,13055,50,0.38,13104.87,13030,13055,13020,41511,541316145,174937000000,13400000
329660,KODEX TRF5050,15450,145,0.95,15435.49,15280,15450,15280,18127,279401755,50985000000,3300000
329670,KODEX TRF7030,17805,115,0.65,17837.56,17635,17805,17635,30883,547990060,46293000000,2600000
395170,KODEX Top10동일가중,8100,15,0.19,8123.92,8100,8110,8050,1751,14194490,76140000000,9400000
315930,KODEX Top5PlusTR,22715,60,0.26,22768.14,22790,22790,22560,17195,390389885,983559500000,43300000
261220,KODEX WTI원유선물(H),14550,-700,-4.59,15097.18,14710,14765,14475,534314,7829653080,68385000000,4700000
271050,KODEX WTI원유선물인버스(H),4330,195,4.72,4167.84,4275,4335,4255,1115581,4786358735,28145000000,6500000
468370,KODEX iShares미국인플레이션국채액티브,10705,45,0.42,10701.69,10735,10735,10660,6673,71303480,7921700000,740000
468630,KODEX iShares미국투자등급회사채액티브,11180,65,0.58,11173.57,11205,11205,11120,32067,357826550,15763800000,1410000
468380,KODEX iShares미국하이일드액티브,11015,45,0.41,11016.19,10975,11050,10970,18635,205065095,28859300000,2620000
117700,KODEX 건설,3085,15,0.49,3082.08,3070,3085,3055,120562,369533815,29307500000,9500000
300950,KODEX 게임산업,7200,20,0.28,7227.75,7205,7225,7120,29345,210770760,20880000000,2900000
266390,KODEX 경기소비재,8425,30,0.36,8420.79,8405,8430,8385,365,3066060,4212500000,500000
279530,KODEX 고배당,10360,25,0.24,10369.94,10375,10375,10330,9104,94173720,31080000000,3000000
132030,KODEX 골드선물(H),16185,-115,-0.71,16205.39,16210,16225,16140,106782,1728720620,179653500000,11100000
280940,KODEX 골드선물인버스(H),5520,30,0.55,5516.28,5535,5535,5510,1214,6707075,2760000000,500000
138910,KODEX 구리선물(H),7440,-185,-2.43,7534.94,7575,7580,7420,46938,352776035,11904000000,1600000
471230,KODEX 국고채10년액티브,110615,300,0.27,110635.73,110430,110630,110430,6821,753460810,384497740000,3476000
439870,KODEX 국고채30년액티브,115110,385,0.34,115010.16,114725,115110,114625,9531,1094853770,428784750000,3725000
114260,KODEX 국고채3년,61050,60,0.1,61046.89,60990,61065,60990,8850,540182020,443467200000,7264000
152380,KODEX 국채선물10년,68670,180,0.26,68703.05,68500,68670,68500,1049,71998825,53150580000,774000
176950,KODEX 국채선물10년인버스,53910,-95,-0.18,53858.03,53900,53910,53900,97,5228310,6792660000,126000
292770,KODEX 국채선물3년인버스,54755,-55,-0.1,54751.57,0,0,0,0,0,8213250000,150000
276990,KODEX 글로벌로봇(합성),18030,90,0.5,18120.13,18050,18050,17975,3068,55309185,28216950000,1565000
476070,KODEX 글로벌비만치료제TOP2 Plus,12205,105,0.87,12216.43,12130,12235,12130,67108,818305690,103132250000,8450000
